variable,block,source,item_de,item_en,measurement,code,value_de,value_en,n,pct,derivation,missing,used_in,notes
id,Administration,raw column 0 (ID),ID (automatisch von Microsoft Forms vergeben),Response identifier assigned automatically by Microsoft Forms,Identifier,,1 bis 403,1 to 403,,,Taken unchanged from the export.,None.,Record linkage across all scripts.,Not sequential in the released file; gaps correspond to records removed during cleaning.
start_time,Administration,raw column 1 (Startzeit),Startzeit der Fragebogenbearbeitung,Time at which the respondent opened the questionnaire,Datetime,,Zeitstempel im Format %m.%d.%y %H:%M:%S,"Timestamp, format %m.%d.%y %H:%M:%S",,,Parsed with pandas.to_datetime(format='%m.%d.%y %H:%M:%S').,None.,06_nonresponse_bias.py (assignment of respondents to the early and late waves).,Early wave: within 48 hours of 2025-12-17 10:37:57. Late wave: on or after 2026-01-27 11:28:00. Responses falling between the two windows are reported and excluded from the comparison.
age_band,Structural,raw column 8,Wie alt sind Sie?,How old are you?,"Ordinal, six bands",1,20-29 Jahre,20 to 29 years,22,6.88,"Single choice, no missing values permitted by the form.",None in the analytical sample.,Table 1; Table 3 (age_ordinal); 06_nonresponse_bias.py.,Entered into both logistic regressions as a single ordinal predictor; the odds ratio refers to a one-category increase.
age_band,Structural,raw column 8,Wie alt sind Sie?,How old are you?,"Ordinal, six bands",2,30-39 Jahre,30 to 39 years,97,30.31,"Single choice, no missing values permitted by the form.",None in the analytical sample.,Table 1; Table 3 (age_ordinal); 06_nonresponse_bias.py.,Entered into both logistic regressions as a single ordinal predictor; the odds ratio refers to a one-category increase.
age_band,Structural,raw column 8,Wie alt sind Sie?,How old are you?,"Ordinal, six bands",3,40-49 Jahre,40 to 49 years,53,16.56,"Single choice, no missing values permitted by the form.",None in the analytical sample.,Table 1; Table 3 (age_ordinal); 06_nonresponse_bias.py.,Entered into both logistic regressions as a single ordinal predictor; the odds ratio refers to a one-category increase.
age_band,Structural,raw column 8,Wie alt sind Sie?,How old are you?,"Ordinal, six bands",4,50-59 Jahre,50 to 59 years,79,24.69,"Single choice, no missing values permitted by the form.",None in the analytical sample.,Table 1; Table 3 (age_ordinal); 06_nonresponse_bias.py.,Entered into both logistic regressions as a single ordinal predictor; the odds ratio refers to a one-category increase.
age_band,Structural,raw column 8,Wie alt sind Sie?,How old are you?,"Ordinal, six bands",5,60-69 Jahre,60 to 69 years,54,16.88,"Single choice, no missing values permitted by the form.",None in the analytical sample.,Table 1; Table 3 (age_ordinal); 06_nonresponse_bias.py.,Entered into both logistic regressions as a single ordinal predictor; the odds ratio refers to a one-category increase.
age_band,Structural,raw column 8,Wie alt sind Sie?,How old are you?,"Ordinal, six bands",6,70 Jahre oder älter,70 years or older,15,4.69,"Single choice, no missing values permitted by the form.",None in the analytical sample.,Table 1; Table 3 (age_ordinal); 06_nonresponse_bias.py.,Entered into both logistic regressions as a single ordinal predictor; the odds ratio refers to a one-category increase.
federal_state,Structural,raw column 9,In welchem Bundesland sind Sie tätig?,In which federal state do you practise?,"Nominal, 16 categories",,Nordrhein-Westfalen,Nordrhein-Westfalen,57,17.81,Single choice from the 16 German federal states.,None in the analytical sample.,"Section 4.1, chi-square goodness-of-fit test against Bundesärztekammer (2026); federal_state_distribution.csv.",Low-frequency states are grouped for publication in line with the aggregation rules in federal_state_distribution.csv. No federal state enters the regression models. The response option is spelled 'Sachen-Anhalt' in the questionnaire and therefore in the export; it denotes Sachsen-Anhalt and is left uncorrected so that the released file matches the instrument.
federal_state,Structural,raw column 9,In welchem Bundesland sind Sie tätig?,In which federal state do you practise?,"Nominal, 16 categories",,Bayern,Bayern,55,17.19,Single choice from the 16 German federal states.,None in the analytical sample.,"Section 4.1, chi-square goodness-of-fit test against Bundesärztekammer (2026); federal_state_distribution.csv.",Low-frequency states are grouped for publication in line with the aggregation rules in federal_state_distribution.csv. No federal state enters the regression models. The response option is spelled 'Sachen-Anhalt' in the questionnaire and therefore in the export; it denotes Sachsen-Anhalt and is left uncorrected so that the released file matches the instrument.
